Clt_No,Po_No,Accumulate,Surveyor,Survey_date,Insured_name,Risk_location,DIV,CTR,CLS,STT,Effective_date,Inception_date,Renew_date,Contract_type,Rkn,Risk_type,Original_SI,VND_SI,Survey date1,Survey date 2,Survey date 3,Survey date 4,Survey date 5,Survey date 6,Survey date 7,Survey date 8,Survey date 9,Fire code,Agent name,Occupation,Business Line,Remark,Month,Year
10000037,20002326,BDTAVSVIKU,NNH,03/08/2022,"VIETNAM KURAUDIA CO., LTD.","VIETNAM KURAUDIA CO., LTD, 01 VSIP Street 7, VSIP, Thuan An, Binh Duong",VC,JPN,D,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"34,572,230,429.00","34,572,230,429.00",20181115,,,20181115,,,20151105,,,18.1AB,DIRECT HCM,Manufacturing of wedding dress,Manufacturing of wedding dress  ,,8,2022
10009594,20086386,HTKAVAVIJA,NTT,23/06/2022,VIJACHIP VUNG ANG CORPORATION.,"VIJACHIP VUNG ANG CORPORATION-Location 1, Vung Ang Economic Zone, Ky Anh,, Ha Tinh",VC,JPN,E,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"2,186,659.00","50,730,488,800.00",,,,,,,,,,18.1BB,DIRECT HCM,Manufacturing paper materials to be exported,  ,,6,2022
10000667,20002376,DNBHWATABE,NNH,13/09/2022,"WATABE WEDDING VIETNAM CO., LTD","WATABE WEDDING VIETNAM CO., LTD, Lot 200, AMATA IP, Bien Hoa City, Dong Nai",VC,JPN,D,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"7,716,306.00","178,863,973,080.00",20160805,,,,,20160805,,,,18.1AB,MARSH-BRK-VC,Manufacturing of garment (wedding dress),Manufacturing of garment (wedding dress) and all other related activities ,,9,2022
10000006,20002382,HNSSTGYMHV,INT,09/09/2022,"YAMAHA MOTOR VIETNAM CO., LTD","YAMAHA MOTOR VIETNAM CO., LTD, Trung Gia Commune, Soc Son District, Ha Noi",VH,JPN,C,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"2,133,223,976,238.00","2,133,223,976,238.00",20161107,,,,,20161107,,,,18.1AB,DIRECT HANOI,Manufacturing & assembling motorcycles,  ,,9,2022
10001058,20004231,BGVYDTD5D6,TDH,23/09/2022,"YOKOI MOULD VIETNAM CO., LTD.","YOKOI MOULD VIETNAM CO., LTD., Plot D5-D6, Dinh Tram  IZ, Viet Yen Dist, Bac Giang",VH,JPN,E,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"170,607,056,817.00","170,607,056,817.00",20190918,,20190918,,,20160909,,,,18.1AB,DIRECT HANOI,Design & Manufacturing Mould,Design & Manufacturing Mould  ,,9,2022
10000386,20019236,SGD1ZENPLA,NNH,02/06/2022,ZEN PLAZA COMPANY LTD.,"ZEN PLAZA BUILDING, 54 - 56 Nguyen Trai Street, District 1, HCMC",VC,JPN,A,RR,01/01/2022,01/01/2021,31/12/2021,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"152,955,000,000.00","152,955,000,000.00",20201105,20201105,,,,20160727,,,,5.1A,DIRECT HCM,"Office leasing, retailing",  ,,6,2022
10021609,20047862,VPBXTLC891,,,"TSUCHIYA TSCO (HA NOI) CO., LTD","TSUCHIYA TSCO (HA NOI) CO., LTD, C8,9,10, Thang Long IZ, Thien Ke, Binh Xuyen, Vinh Phuc",VH,JPN,D,IF,11/10/2021,04/01/2021,03/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"9,369,515.00","216,997,967,400.00",,,,,,,,,,18.1AB,DIRECT HANOI,As above mentioned,Manufacturing brush for electronic equipment and other products ,,,
10004256,20014547,BPCTTTCTA6,NNH,30/09/2022,"MEGATEC CO., LTD","MEGATEC CO., LTD., LOT A6.4 A6.8 CHON THANH IZ, THANH TAM, CHON THANH, Binh Phuoc",VC,JPN,E,IF,11/01/2021,10/01/2021,09/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"71,327,565,984.00","71,327,565,984.00",20190315,,20190315,,,20161011,,20141223,,18.1AB,DIRECT HCM,Manufacturing of wood plate for furniture,  ,,9,2022
10000690,20019537,DNNTPKSOPE,NTT,03/06/2022,SOPET GAS ONE COMPANY LIMITED,"SOPET GAS CO., LTD, Phuoc Khanh Village, Nhon Trach District, Dong Nai",VC,JPN,E,IF,20/04/2021,12/01/2021,11/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"110,224,402,768.00","110,224,402,768.00",20181106,,,20181106,,20161107,20151104,,,19.1B,DIRECT HCM,Export/ Import and sell LPG (gas),  ,,6,2022
10000699,20002451,BDBCMPTAIS,NNH,01/08/2022,"TAISEI BIJUTSU PRINTING (VIETNAM) CO., LTD.","TAISEI BIJUTSU PRINTING (VIETNAM) CO., LTD, Lot D-8F2-CN, My Phuoc 3 IP, Ben Cat, Binh Duong",VC,JPN,E,IF,15/01/2021,14/01/2021,13/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"78,586,643,905.00","78,586,643,905.00",20200106,20200106,20191218,,,20160921,,,,18.1AB,DIRECT HCM,Printing workshop/ factory,  ,,8,2022
10000714,20010494,DNBHAMSAKA,NNH,20/07/2022,SAKAGUCHI PLASTIC VIETNAM,"SAKAGUCHI PLASTIC VIETNAM, Road 7A, Lot 300, Amata IP, Long Binh, Bien Hoa, Dong Nai",VC,JPN,E,IF,26/05/2021,15/01/2021,14/01/2022,ISR - INDUSTRIAL ALL RISKS,2,ARB - PROPERTY ALL RISKS,"144,652,067,189.00","144,652,067,189.00",,,,,,,,,,18.1AB,DIRECT HCM,Manufacturer of Plastic Parts,  ,,7,2022
10000161,20002479,BDTAAPTNTF,NNH,21/10/2022,"VIETNAM TNT FIBERS CO., LTD.","VIETNAM TNT FIBERS CO., LTD., 743 Street, An Phu Village, Thuan An District, Binh Duong",VC,JPN,E,IF,15/01/2021,15/01/2021,14/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"33,254,946,077.00","33,254,946,077.00",20191227,,20191227,,20170120,20160928,,20140528,,18.1AB,DIRECT HCM,Nylon Twine Manufacture,Nylon Twine Manufacture  ,,10,2022
10021803,20048067,HNDTHMKURO,,,"KUROSU HANAM CO.,LTD","KUROSU HANAM CO., LTD, Road D1,Section E,Hoa Mac IP,Chau Giang, Duy Tien, Ha Nam",VH,JPN,E,IF,01/07/2021,16/01/2021,15/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"58,827,256,000.00","58,827,256,000.00",,,,,,,,,,18.1AB,DIRECT HANOI,Manufucture of Textile Fabrics and Textile,  ,,,
10000276,20020003,SGD7S3738A,,,"JAPAN PAPER TECHNOLOGY CO., LTD.","JAPAN PAPER TECHNOLOGY CO., LTD, S37-38a Road 19, Tan Thuan EPZ, District 7, HCMC",VC,JPN,E,IF,18/01/2021,17/01/2021,16/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"2,214,200.00","51,214,446,000.00",20170606,,,,20170606,20160915,,,,18.1AB,DIRECT HCM,Paper Bags Manufacturer,  ,,,
10012513,20031530,HNDTHMSAN2,TDH,17/06/2022,"VIETNAM KYODO SEIHAN PRINTINGCO., LTD","Naxis Vietnam Co., Ltd - Hanam Branch, Road N2, Section A, Hoa Mac IP, Duy Tien, Ha Nam",VH,JPN,E,IF,20/01/2021,20/01/2021,19/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"110,455,926,660.00","110,455,926,660.00",20181108,,,20181108,,,,,,18.1AB,DIRECT HANOI,Printing,  ,,6,2022
10002652,20019835,SGBTTAHYOG,NNH,06/12/2022,"HYOGO SHOES VIETNAM CO., LTD.","HYOGO SHOES CO., LTD, B7/114A Nguyen Cuu Phu, Ward Tan A, Binh Tan Dist, HCMC",VC,JPN,D,IF,24/01/2021,23/01/2021,22/01/2022,ISR - INDUSTRIAL ALL RISKS,1,ARB - PROPERTY ALL RISKS,"237,397,376.00","52,702,217,472.00",20191210,,20191210,,,,,20140114,,18.1CB,DIRECT HCM,Shoes manufacturer,  ,,12,2022
